loss=0.0076, MC price=0.0436, predicted=0.0484
loss=0.0075, MC price=0.0432, predicted=0.0486
loss=0.0083, MC price=0.0483, predicted=0.0463
loss=0.0075, MC price=0.0440, predicted=0.0474
loss=0.0082, MC price=0.0477, predicted=0.0483
loss=0.0080, MC price=0.0460, predicted=0.0471
loss=0.0075, MC price=0.0431, predicted=0.0489
loss=0.0073, MC price=0.0434, predicted=0.0501
loss=0.0075, MC price=0.0455, predicted=0.0505
loss=0.0074, MC price=0.0446, predicted=0.0519
loss=0.0057, MC price=0.0445, predicted=0.0533
loss=0.0088, MC price=0.0433, predicted=0.0559
loss=0.0064, MC price=0.0445, predicted=0.0551
loss=0.0061, MC price=0.0439, predicted=0.0555
loss=0.0053, MC price=0.0462, predicted=0.0572
loss=0.0068, MC price=0.0430, predicted=0.0598
loss=0.0053, MC price=0.0439, predicted=0.0594
loss=0.0036, MC price=0.0433, predicted=0.0610
loss=0.0059, MC price=0.0457, predicted=0.0614
loss=0.0047, MC price=0.0452, predicted=0.0634
loss=0.0036, MC price=0.0440, predicted=0.0641
loss=0.0036, MC price=0.0479, predicted=0.0636
loss=0.0036, MC price=0.0423, predicted=0.0632
loss=0.0035, MC price=0.0450, predicted=0.0656
loss=0.0041, MC price=0.0453, predicted=0.0657
loss=0.0035, MC price=0.0454, predicted=0.0664
loss=0.0036, MC price=0.0451, predicted=0.0667
loss=0.0042, MC price=0.0458, predicted=0.0677
loss=0.0034, MC price=0.0440, predicted=0.0687
loss=0.0042, MC price=0.0435, predicted=0.0703
loss=0.0035, MC price=0.0423, predicted=0.0704
loss=0.0034, MC price=0.0452, predicted=0.0700
loss=0.0034, MC price=0.0440, predicted=0.0676
loss=0.0038, MC price=0.0462, predicted=0.0679
loss=0.0036, MC price=0.0446, predicted=0.0695
loss=0.0032, MC price=0.0431, predicted=0.0676
loss=0.0037, MC price=0.0446, predicted=0.0683
loss=0.0036, MC price=0.0437, predicted=0.0698
loss=0.0042, MC price=0.0442, predicted=0.0669
loss=0.0039, MC price=0.0441, predicted=0.0695
loss=0.0039, MC price=0.0434, predicted=0.0685
loss=0.0038, MC price=0.0466, predicted=0.0668
loss=0.0039, MC price=0.0456, predicted=0.0679
loss=0.0047, MC price=0.0459, predicted=0.0681
loss=0.0041, MC price=0.0462, predicted=0.0683
loss=0.0052, MC price=0.0455, predicted=0.0667
loss=0.0047, MC price=0.0485, predicted=0.0640
loss=0.0054, MC price=0.0455, predicted=0.0699
loss=0.0037, MC price=0.0441, predicted=0.0672
loss=0.0051, MC price=0.0433, predicted=0.0659
loss=0.0042, MC price=0.0428, predicted=0.0653
loss=0.0040, MC price=0.0449, predicted=0.0661
loss=0.0047, MC price=0.0439, predicted=0.0701
loss=0.0034, MC price=0.0444, predicted=0.0684
loss=0.0034, MC price=0.0447, predicted=0.0703
loss=0.0032, MC price=0.0446, predicted=0.0691
loss=0.0037, MC price=0.0467, predicted=0.0689
loss=0.0032, MC price=0.0436, predicted=0.0698
loss=0.0036, MC price=0.0442, predicted=0.0681
loss=0.0033, MC price=0.0452, predicted=0.0667
loss=0.0048, MC price=0.0427, predicted=0.0660
loss=0.0035, MC price=0.0420, predicted=0.0678
loss=0.0041, MC price=0.0438, predicted=0.0654
loss=0.0032, MC price=0.0435, predicted=0.0693
loss=0.0033, MC price=0.0463, predicted=0.0679
loss=0.0029, MC price=0.0426, predicted=0.0677
loss=0.0040, MC price=0.0474, predicted=0.0672
loss=0.0032, MC price=0.0447, predicted=0.0663
loss=0.0030, MC price=0.0471, predicted=0.0666
loss=0.0039, MC price=0.0482, predicted=0.0644
loss=0.0030, MC price=0.0460, predicted=0.0658
loss=0.0027, MC price=0.0429, predicted=0.0658
loss=0.0030, MC price=0.0457, predicted=0.0639
loss=0.0031, MC price=0.0451, predicted=0.0657
loss=0.0030, MC price=0.0481, predicted=0.0660
loss=0.0032, MC price=0.0444, predicted=0.0643
loss=0.0027, MC price=0.0431, predicted=0.0643
loss=0.0027, MC price=0.0456, predicted=0.0657
loss=0.0026, MC price=0.0437, predicted=0.0654
loss=0.0029, MC price=0.0469, predicted=0.0656
loss=0.0027, MC price=0.0443, predicted=0.0656
loss=0.0030, MC price=0.0449, predicted=0.0631
loss=0.0023, MC price=0.0436, predicted=0.0651
loss=0.0034, MC price=0.0439, predicted=0.0633
loss=0.0027, MC price=0.0432, predicted=0.0650
loss=0.0028, MC price=0.0452, predicted=0.0666
loss=0.0025, MC price=0.0457, predicted=0.0650
loss=0.0021, MC price=0.0443, predicted=0.0646
loss=0.0030, MC price=0.0443, predicted=0.0628
loss=0.0024, MC price=0.0443, predicted=0.0636
loss=0.0022, MC price=0.0443, predicted=0.0646
loss=0.0021, MC price=0.0427, predicted=0.0635
loss=0.0021, MC price=0.0435, predicted=0.0642
loss=0.0021, MC price=0.0455, predicted=0.0642
loss=0.0021, MC price=0.0445, predicted=0.0631
loss=0.0038, MC price=0.0487, predicted=0.0614
loss=0.0022, MC price=0.0425, predicted=0.0642
loss=0.0022, MC price=0.0442, predicted=0.0637
loss=0.0020, MC price=0.0417, predicted=0.0628
loss=0.0024, MC price=0.0449, predicted=0.0645
loss=0.0019, MC price=0.0449, predicted=0.0626
loss=0.0030, MC price=0.0433, predicted=0.0605
loss=0.0019, MC price=0.0445, predicted=0.0638
loss=0.0024, MC price=0.0445, predicted=0.0617
loss=0.0024, MC price=0.0459, predicted=0.0606
loss=0.0027, MC price=0.0446, predicted=0.0644
loss=0.0025, MC price=0.0415, predicted=0.0613
loss=0.0019, MC price=0.0448, predicted=0.0620
loss=0.0059, MC price=0.0448, predicted=0.0590
loss=0.0032, MC price=0.0460, predicted=0.0596
loss=0.0040, MC price=0.0451, predicted=0.0598
loss=0.0018, MC price=0.0436, predicted=0.0617
loss=0.0034, MC price=0.0458, predicted=0.0597
loss=0.0017, MC price=0.0439, predicted=0.0619
loss=0.0048, MC price=0.0461, predicted=0.0583
loss=0.0021, MC price=0.0452, predicted=0.0621
loss=0.0022, MC price=0.0463, predicted=0.0631
loss=0.0020, MC price=0.0455, predicted=0.0617
loss=0.0023, MC price=0.0422, predicted=0.0608
loss=0.0017, MC price=0.0444, predicted=0.0613
loss=0.0021, MC price=0.0464, predicted=0.0611
loss=0.0019, MC price=0.0432, predicted=0.0617
loss=0.0016, MC price=0.0447, predicted=0.0620
loss=0.0018, MC price=0.0430, predicted=0.0604
loss=0.0017, MC price=0.0451, predicted=0.0619
loss=0.0017, MC price=0.0452, predicted=0.0617
loss=0.0039, MC price=0.0442, predicted=0.0580
loss=0.0017, MC price=0.0459, predicted=0.0608
loss=0.0042, MC price=0.0467, predicted=0.0594
loss=0.0048, MC price=0.0449, predicted=0.0565
loss=0.0022, MC price=0.0434, predicted=0.0592
loss=0.0017, MC price=0.0430, predicted=0.0596
loss=0.0050, MC price=0.0431, predicted=0.0574
loss=0.0019, MC price=0.0440, predicted=0.0592
loss=0.0014, MC price=0.0440, predicted=0.0595
loss=0.0031, MC price=0.0448, predicted=0.0566
loss=0.0016, MC price=0.0439, predicted=0.0591
loss=0.0016, MC price=0.0449, predicted=0.0598
loss=0.0016, MC price=0.0452, predicted=0.0596
loss=0.0030, MC price=0.0447, predicted=0.0572
loss=0.0015, MC price=0.0451, predicted=0.0600
loss=0.0019, MC price=0.0430, predicted=0.0590
loss=0.0026, MC price=0.0472, predicted=0.0565
loss=0.0017, MC price=0.0456, predicted=0.0591
loss=0.0016, MC price=0.0437, predicted=0.0590
loss=0.0017, MC price=0.0453, predicted=0.0579
loss=0.0023, MC price=0.0441, predicted=0.0584
loss=0.0013, MC price=0.0416, predicted=0.0596
loss=0.0015, MC price=0.0443, predicted=0.0591
loss=0.0023, MC price=0.0454, predicted=0.0587
loss=0.0015, MC price=0.0441, predicted=0.0593
loss=0.0025, MC price=0.0437, predicted=0.0605
loss=0.0019, MC price=0.0438, predicted=0.0592
loss=0.0014, MC price=0.0414, predicted=0.0592
loss=0.0018, MC price=0.0440, predicted=0.0592
loss=0.0016, MC price=0.0412, predicted=0.0587
loss=0.0015, MC price=0.0450, predicted=0.0582
loss=0.0021, MC price=0.0445, predicted=0.0582
loss=0.0014, MC price=0.0437, predicted=0.0585
loss=0.0018, MC price=0.0429, predicted=0.0595
loss=0.0020, MC price=0.0439, predicted=0.0571
loss=0.0032, MC price=0.0425, predicted=0.0561
loss=0.0022, MC price=0.0442, predicted=0.0571
loss=0.0018, MC price=0.0444, predicted=0.0576
loss=0.0026, MC price=0.0454, predicted=0.0564
loss=0.0014, MC price=0.0452, predicted=0.0563
loss=0.0044, MC price=0.0439, predicted=0.0551
loss=0.0016, MC price=0.0455, predicted=0.0587
loss=0.0016, MC price=0.0436, predicted=0.0598
loss=0.0021, MC price=0.0475, predicted=0.0572
loss=0.0020, MC price=0.0455, predicted=0.0590
loss=0.0019, MC price=0.0475, predicted=0.0571
loss=0.0023, MC price=0.0431, predicted=0.0562
loss=0.0018, MC price=0.0459, predicted=0.0564
loss=0.0019, MC price=0.0434, predicted=0.0589
loss=0.0018, MC price=0.0443, predicted=0.0576
loss=0.0019, MC price=0.0458, predicted=0.0583
loss=0.0021, MC price=0.0454, predicted=0.0579
loss=0.0018, MC price=0.0463, predicted=0.0584
loss=0.0014, MC price=0.0445, predicted=0.0581
loss=0.0019, MC price=0.0442, predicted=0.0568
loss=0.0016, MC price=0.0445, predicted=0.0564
loss=0.0014, MC price=0.0437, predicted=0.0585
loss=0.0023, MC price=0.0429, predicted=0.0583
loss=0.0028, MC price=0.0449, predicted=0.0556
loss=0.0020, MC price=0.0441, predicted=0.0548
loss=0.0017, MC price=0.0447, predicted=0.0566
loss=0.0034, MC price=0.0450, predicted=0.0554
