loss=0.0149, Monte Carlo price=0.3717, predicted=0.3818
loss=0.0159, Monte Carlo price=0.3685, predicted=0.3814
loss=0.0155, Monte Carlo price=0.3790, predicted=0.3752
loss=0.0151, Monte Carlo price=0.3734, predicted=0.3800
loss=0.0163, Monte Carlo price=0.3748, predicted=0.3768
loss=0.0182, Monte Carlo price=0.3733, predicted=0.3789
loss=0.0160, Monte Carlo price=0.3748, predicted=0.3716
loss=0.0207, Monte Carlo price=0.3741, predicted=0.3772
loss=0.0150, Monte Carlo price=0.3683, predicted=0.3809
loss=0.0167, Monte Carlo price=0.3720, predicted=0.3778
loss=0.0169, Monte Carlo price=0.3768, predicted=0.3777
loss=0.0166, Monte Carlo price=0.3646, predicted=0.3755
loss=0.0153, Monte Carlo price=0.3765, predicted=0.3802
loss=0.0154, Monte Carlo price=0.3713, predicted=0.3781
loss=0.0153, Monte Carlo price=0.3822, predicted=0.3819
loss=0.0153, Monte Carlo price=0.3766, predicted=0.3800
loss=0.0158, Monte Carlo price=0.3757, predicted=0.3793
loss=0.0159, Monte Carlo price=0.3697, predicted=0.3841
loss=0.0175, Monte Carlo price=0.3705, predicted=0.3757
loss=0.0172, Monte Carlo price=0.3711, predicted=0.3745
loss=0.0155, Monte Carlo price=0.3689, predicted=0.3808
loss=0.0152, Monte Carlo price=0.3744, predicted=0.3723
loss=0.0148, Monte Carlo price=0.3684, predicted=0.3730
loss=0.0165, Monte Carlo price=0.3760, predicted=0.3746
loss=0.0153, Monte Carlo price=0.3714, predicted=0.3797
loss=0.0159, Monte Carlo price=0.3774, predicted=0.3797
loss=0.0154, Monte Carlo price=0.3779, predicted=0.3863
loss=0.0159, Monte Carlo price=0.3722, predicted=0.3727
loss=0.0152, Monte Carlo price=0.3658, predicted=0.3775
loss=0.0159, Monte Carlo price=0.3654, predicted=0.3742
loss=0.0151, Monte Carlo price=0.3731, predicted=0.3751
loss=0.0163, Monte Carlo price=0.3690, predicted=0.3759
