loss=0.0024, MC price=0.0140, predicted=0.0220
loss=0.0024, MC price=0.0135, predicted=0.0215
loss=0.0023, MC price=0.0140, predicted=0.0215
loss=0.0024, MC price=0.0143, predicted=0.0213
loss=0.0027, MC price=0.0134, predicted=0.0217
loss=0.0026, MC price=0.0147, predicted=0.0223
loss=0.0023, MC price=0.0140, predicted=0.0230
loss=0.0024, MC price=0.0137, predicted=0.0226
loss=0.0022, MC price=0.0139, predicted=0.0223
loss=0.0028, MC price=0.0152, predicted=0.0215
loss=0.0027, MC price=0.0135, predicted=0.0209
loss=0.0030, MC price=0.0140, predicted=0.0187
loss=0.0027, MC price=0.0131, predicted=0.0220
loss=0.0021, MC price=0.0129, predicted=0.0224
loss=0.0021, MC price=0.0131, predicted=0.0218
loss=0.0024, MC price=0.0141, predicted=0.0222
loss=0.0030, MC price=0.0140, predicted=0.0224
loss=0.0027, MC price=0.0139, predicted=0.0227
loss=0.0023, MC price=0.0142, predicted=0.0230
loss=0.0024, MC price=0.0132, predicted=0.0218
loss=0.0028, MC price=0.0146, predicted=0.0221
loss=0.0026, MC price=0.0141, predicted=0.0226
loss=0.0021, MC price=0.0133, predicted=0.0221
loss=0.0025, MC price=0.0142, predicted=0.0235
loss=0.0020, MC price=0.0130, predicted=0.0222
loss=0.0023, MC price=0.0141, predicted=0.0227
loss=0.0034, MC price=0.0138, predicted=0.0238
loss=0.0022, MC price=0.0128, predicted=0.0217
loss=0.0023, MC price=0.0141, predicted=0.0232
loss=0.0024, MC price=0.0147, predicted=0.0225
loss=0.0030, MC price=0.0147, predicted=0.0221
loss=0.0022, MC price=0.0130, predicted=0.0231
loss=0.0034, MC price=0.0132, predicted=0.0239
loss=0.0034, MC price=0.0145, predicted=0.0232
loss=0.0021, MC price=0.0135, predicted=0.0217
loss=0.0026, MC price=0.0131, predicted=0.0233
loss=0.0022, MC price=0.0138, predicted=0.0219
loss=0.0025, MC price=0.0143, predicted=0.0232
loss=0.0022, MC price=0.0147, predicted=0.0218
loss=0.0019, MC price=0.0133, predicted=0.0227
loss=0.0024, MC price=0.0151, predicted=0.0226
loss=0.0022, MC price=0.0129, predicted=0.0236
loss=0.0025, MC price=0.0145, predicted=0.0224
loss=0.0046, MC price=0.0140, predicted=0.0254
loss=0.0030, MC price=0.0145, predicted=0.0216
loss=0.0023, MC price=0.0149, predicted=0.0227
loss=0.0025, MC price=0.0134, predicted=0.0234
loss=0.0024, MC price=0.0150, predicted=0.0233
loss=0.0022, MC price=0.0131, predicted=0.0236
loss=0.0021, MC price=0.0137, predicted=0.0238
loss=0.0032, MC price=0.0146, predicted=0.0245
loss=0.0023, MC price=0.0144, predicted=0.0230
loss=0.0022, MC price=0.0137, predicted=0.0237
loss=0.0022, MC price=0.0144, predicted=0.0232
loss=0.0025, MC price=0.0149, predicted=0.0232
loss=0.0027, MC price=0.0145, predicted=0.0211
loss=0.0029, MC price=0.0136, predicted=0.0214
loss=0.0021, MC price=0.0145, predicted=0.0228
loss=0.0021, MC price=0.0132, predicted=0.0236
loss=0.0035, MC price=0.0147, predicted=0.0223
loss=0.0022, MC price=0.0136, predicted=0.0227
loss=0.0024, MC price=0.0136, predicted=0.0239
loss=0.0034, MC price=0.0149, predicted=0.0232
loss=0.0023, MC price=0.0147, predicted=0.0232
loss=0.0031, MC price=0.0144, predicted=0.0231
loss=0.0021, MC price=0.0136, predicted=0.0225
loss=0.0035, MC price=0.0147, predicted=0.0248
loss=0.0021, MC price=0.0140, predicted=0.0231
loss=0.0028, MC price=0.0142, predicted=0.0215
loss=0.0025, MC price=0.0140, predicted=0.0234
loss=0.0026, MC price=0.0140, predicted=0.0236
loss=0.0020, MC price=0.0151, predicted=0.0239
loss=0.0021, MC price=0.0138, predicted=0.0237
loss=0.0027, MC price=0.0143, predicted=0.0231
loss=0.0032, MC price=0.0133, predicted=0.0234
loss=0.0019, MC price=0.0141, predicted=0.0232
loss=0.0020, MC price=0.0136, predicted=0.0234
loss=0.0020, MC price=0.0139, predicted=0.0241
loss=0.0018, MC price=0.0135, predicted=0.0241
loss=0.0036, MC price=0.0137, predicted=0.0254
loss=0.0033, MC price=0.0139, predicted=0.0251
loss=0.0021, MC price=0.0148, predicted=0.0248
loss=0.0024, MC price=0.0161, predicted=0.0247
loss=0.0022, MC price=0.0139, predicted=0.0230
loss=0.0022, MC price=0.0134, predicted=0.0234
loss=0.0022, MC price=0.0150, predicted=0.0233
loss=0.0020, MC price=0.0140, predicted=0.0233
loss=0.0023, MC price=0.0149, predicted=0.0246
loss=0.0024, MC price=0.0148, predicted=0.0248
loss=0.0048, MC price=0.0149, predicted=0.0250
loss=0.0020, MC price=0.0147, predicted=0.0239
loss=0.0030, MC price=0.0143, predicted=0.0250
loss=0.0022, MC price=0.0135, predicted=0.0247
loss=0.0026, MC price=0.0136, predicted=0.0230
loss=0.0021, MC price=0.0144, predicted=0.0237
loss=0.0025, MC price=0.0139, predicted=0.0243
loss=0.0028, MC price=0.0140, predicted=0.0255
loss=0.0019, MC price=0.0144, predicted=0.0226
loss=0.0028, MC price=0.0149, predicted=0.0239
loss=0.0022, MC price=0.0141, predicted=0.0249

=== FINAL COMPARISON ===
Closed-form : 0.0179
Deep PPDE   : 0.0249
Monte Carlo : 0.0143
